Phase,Hand_L_x,Hand_L_y,Hand_L_z,Hand_R_x,Hand_R_y,Hand_R_z,Foot_L_x,Foot_L_y,Foot_L_z,Foot_R_x,Foot_R_y,Foot_R_z
0,0,65,135,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
0.216661562316537,0,64.2986166713026,135.644911320633,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
0.433323124633075,0,62.2272625901287,136.259667304681,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
0.649984686949612,0,58.8827919711693,136.815522645581,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
0.86664624926615,0,54.4215885434548,137.286486165383,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
1.08330781158269,0,49.0522532209937,137.650536133338,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
1.29996937389922,0,43.0258501558766,137.890649977558,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
1.51663093621576,0,36.6241672575625,137.995600241553,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
1.7332924985323,0,30.1465401034171,137.960479567625,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
1.94995406084884,0,23.8958553398026,137.78693015945,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
2.16661562316537,0,18.1643880391285,137.483066994471,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
2.38327718548191,0,13.2201352423061,137.06309837656,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
2.59993874779845,0,9.29428471497232,136.546661571531,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
2.81660031011499,0,6.57040486451593,135.957904590408,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
3.03326187243152,0,5.17586128536921,135.324357055272,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
3.24992343474806,0,5.17586128536921,134.675642944728,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
3.4665849970646,0,6.57040486451593,134.042095409592,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
3.68324655938114,0,9.29428471497232,133.453338428469,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
3.89990812169767,0,13.2201352423061,132.93690162344,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
4.11656968401421,0,18.1643880391285,132.516933005529,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
4.33323124633075,0,23.8958553398026,132.21306984055,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
4.54989280864729,0,30.1465401034171,132.039520432375,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
4.76655437096382,0,36.6241672575625,132.004399758447,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
4.98321593328036,0,43.0258501558766,132.109350022442,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
5.1998774955969,0,49.0522532209937,132.349463866662,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
5.41653905791344,0,54.4215885434548,132.713513834617,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
5.63320062022997,0,58.8827919711693,133.184477354419,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
5.84986218254651,0,62.2272625901287,133.740332695319,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
6.06652374486305,0,64.2986166713026,134.355088679367,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
6.28318530717959,0,65,135,-47.768318,22.22,104.4664,-15.777701,13.938243,0.751431,22.339117,13.306132,2.390061
